ID,Libro,Capítulo,Usuario,Fecha,Comentario,Likes,Editado,Eliminado
4ec352df-f8d8-46c2-97f4-157ba521c3d5,Hasta que caiga la luna,Prólogo,Ana,6/07/2026 22:06:39,menudos nombres....,0,FALSE,FALSE
01871585-d95b-4482-b5b5-07af68b16d00,Hasta que caiga la luna,Capítulo 5,Ana,6/07/2026 22:50:38,que buena la frase: 'si te he apuñalado no me acuerdo' jajaja,0,FALSE,FALSE
30404085-ef5f-444a-a090-4c6f156dd2e4,Hasta que caiga la luna,Capítulo 5,Ana,6/07/2026 22:50:40,que buena la frase: 'si te he apuñalado no me acuerdo' jajaja,0,FALSE,TRUE
aa7d0f28-ac79-489f-b074-4d574e5680d5,Hasta que caiga la luna,Capítulo 8,Ana,6/07/2026 22:52:01,Que curioso que la pueda controlar con un poco de sangre que tiene en el vial.,0,FALSE,FALSE
f1f08162-e54b-4b21-b380-603f3e82cd7f,Hasta que caiga la luna,Prólogo,Bea,6/07/2026 23:12:43,"El principio es mucha información y los nombres se las traen, pero luego la magia no es tan complicada.",0,FALSE,FALSE
f6148404-51d5-4baf-a48f-f964b50c0ae1,Hasta que caiga la luna,Capítulo 8,Bea,6/07/2026 23:30:27,Tiene cosas muy curiosas de magia... al menos para mi,0,TRUE,FALSE
2a2bee99-2dbc-40ff-8dfd-dd66fef2ed77,Hasta que caiga la luna,Capítulo 14,Ana,7/07/2026 21:04:27,"Pues se han cargado a Essi, no esperaba que durará tan poco jo. y en teoría parace que la ha matado el asesino que va detrás de ella",0,FALSE,FALSE
26d8489c-99ff-4617-a2e3-b43bff9ccf2d,Hasta que caiga la luna,Capítulo 15,Ana,7/07/2026 21:59:22,Al principio con lo de la otra me he perdido hasta que he entendido que es un ser que vive en ella y la domina. Si estos son los protas es un enemis muy enemis jajajaja,0,FALSE,FALSE
3bec3b0e-51a4-4859-bed2-105c3913f5ff,Hasta que caiga la luna,Capítulo 15,Ana,7/07/2026 21:59:39,Al principio con lo de la otra me he perdido hasta que he entendido que es un ser que vive en ella y la domina. Si estos son los protas es un enemis muy enemis jajajaja,0,FALSE,TRUE
34de464f-ed03-40fd-848c-dd38fb702e6b,Hasta que caiga la luna,Capítulo 15,Ana,7/07/2026 21:59:47,Al principio con lo de la otra me he perdido hasta que he entendido que es un ser que vive en ella y la domina. Si estos son los protas es un enemis muy enemis jajajaja,0,FALSE,TRUE